student_id,S_пос,S_пос_взв,S_опр,S_опр_взв,S_док,S_док_взв,S_лаб,S_лаб_взв,ЛР_сдано,ЛР_всего,Рейтинг_сумма,Проект_raw,Проект,Бонус_проект,Рейтинг_итог,Блок,Причина_блока,Зачёт
1,11.76,1.76,0.0,0.0,0.0,0.0,-36.36,-21.82,1,11,-20.05,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-36.36 < 50,НЕТ
2,11.76,1.76,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-28.24,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
3,11.76,1.76,0.0,0.0,0.0,0.0,-36.36,-21.82,1,11,-20.05,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-36.36 < 50,НЕТ
4,11.76,1.76,0.0,0.0,0.0,0.0,-36.36,-21.82,1,11,-20.05,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-36.36 < 50,НЕТ
5,8.82,1.32,0.0,0.0,0.0,0.0,-36.36,-21.82,1,11,-20.49,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-36.36 < 50,НЕТ
6,11.76,1.76,0.0,0.0,0.0,0.0,-36.36,-21.82,1,11,-20.05,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-36.36 < 50,НЕТ
7,11.76,1.76,0.0,0.0,0.0,0.0,-36.36,-21.82,1,11,-20.05,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-36.36 < 50,НЕТ
8,11.76,1.76,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-28.24,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
9,11.76,1.76,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-28.24,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
